trat;luz;temp;sub;umidade;rep;germ;plant;plantm;rm;plantanorm
1;branca;20;RP;seco;1;7;7;3;0;0
1;branca;20;RP;seco;2;5;4;5;1;0
1;branca;20;RP;seco;3;7;7;3;0;0
2;branca;20;RP;intermed;1;6;6;4;0;0
2;branca;20;RP;intermed;2;5;5;5;0;0
2;branca;20;RP;intermed;3;9;9;1;0;0
3;branca;20;RP;umido;1;10;10;0;0;0
3;branca;20;RP;umido;2;7;7;3;0;0
3;branca;20;RP;umido;3;8;7;2;1;0
4;branca;20;SP;seco;1;7;6;3;1;0
4;branca;20;SP;seco;2;8;7;2;1;0
4;branca;20;SP;seco;3;5;5;5;0;0
5;branca;20;SP;intermed;1;7;7;3;0;0
5;branca;20;SP;intermed;2;3;3;7;0;0
5;branca;20;SP;intermed;3;4;4;6;0;0
6;branca;20;SP;umido;1;9;6;1;3;0
6;branca;20;SP;umido;2;8;7;2;1;0
6;branca;20;SP;umido;3;4;3;6;2;0
7;branca;20;EP;seco;1;8;8;2;0;0
7;branca;20;EP;seco;2;9;9;1;0;0
7;branca;20;EP;seco;3;4;4;6;0;0
8;branca;20;EP;intermed;1;7;6;3;1;0
8;branca;20;EP;intermed;2;4;3;6;1;0
8;branca;20;EP;intermed;3;6;6;4;0;0
9;branca;20;EP;umido;1;7;7;3;0;0
9;branca;20;EP;umido;2;6;5;4;1;0
9;branca;20;EP;umido;3;4;4;6;0;0
10;branca;20;SV;seco;1;4;4;6;0;0
10;branca;20;SV;seco;2;7;7;3;0;0
10;branca;20;SV;seco;3;6;6;4;0;0
11;branca;20;SV;intermed;1;8;8;2;0;0
11;branca;20;SV;intermed;2;6;6;4;0;0
11;branca;20;SV;intermed;3;4;2;6;0;0
12;branca;20;SV;umido;1;9;9;1;0;0
12;branca;20;SV;umido;2;9;9;1;0;0
12;branca;20;SV;umido;3;8;7;2;1;0
13;branca;20;EV;seco;1;3;3;7;0;0
13;branca;20;EV;seco;2;4;3;6;1;0
13;branca;20;EV;seco;3;6;6;4;0;0
14;branca;20;EV;intermed;1;4;4;6;0;0
14;branca;20;EV;intermed;2;5;4;5;1;0
14;branca;20;EV;intermed;3;5;4;5;1;0
15;branca;20;EV;umido;1;3;3;7;0;0
15;branca;20;EV;umido;2;7;7;3;0;0
15;branca;20;EV;umido;3;8;7;2;1;0
16;branca;20;SA;seco;1;3;2;7;1;0
16;branca;20;SA;seco;2;4;4;6;0;0
16;branca;20;SA;seco;3;4;4;6;0;0
17;branca;20;SA;intermed;1;1;1;9;0;0
17;branca;20;SA;intermed;2;8;8;2;0;0
17;branca;20;SA;intermed;3;5;4;5;1;0
18;branca;20;SA;umido;1;4;4;6;0;0
18;branca;20;SA;umido;2;3;3;7;0;0
18;branca;20;SA;umido;3;6;6;4;0;0
19;branca;20;EA;seco;1;4;4;6;0;0
19;branca;20;EA;seco;2;3;3;7;0;0
19;branca;20;EA;seco;3;1;1;9;0;0
20;branca;20;EA;intermed;1;2;2;8;0;0
20;branca;20;EA;intermed;2;4;4;6;0;0
20;branca;20;EA;intermed;3;4;4;6;0;0
21;branca;20;EA;umido;1;2;2;8;0;0
21;branca;20;EA;umido;2;2;2;8;0;0
21;branca;20;EA;umido;3;2;2;8;0;0
22;branca;25;RP;seco;1;6;3;4;3;0
22;branca;25;RP;seco;2;5;3;5;2;0
22;branca;25;RP;seco;3;7;5;3;2;0
23;branca;25;RP;intermed;1;9;9;1;0;0
23;branca;25;RP;intermed;2;8;8;2;0;0
23;branca;25;RP;intermed;3;7;7;3;0;0
24;branca;25;RP;umido;1;7;7;3;0;0
24;branca;25;RP;umido;2;5;5;5;0;0
24;branca;25;RP;umido;3;8;8;2;0;0
25;branca;25;SP;seco;1;7;7;3;0;0
25;branca;25;SP;seco;2;5;5;5;0;0
25;branca;25;SP;seco;3;4;4;6;0;0
26;branca;25;SP;intermed;1;4;4;6;0;0
26;branca;25;SP;intermed;2;5;4;5;0;0
26;branca;25;SP;intermed;3;5;5;5;0;0
27;branca;25;SP;umido;1;6;6;4;0;0
27;branca;25;SP;umido;2;6;5;4;1;0
27;branca;25;SP;umido;3;8;6;2;2;0
28;branca;25;EP;seco;1;7;5;3;2;0
28;branca;25;EP;seco;2;6;6;4;0;0
28;branca;25;EP;seco;3;6;6;4;0;0
29;branca;25;EP;intermed;1;5;5;5;0;0
29;branca;25;EP;intermed;2;3;2;7;1;0
29;branca;25;EP;intermed;3;3;3;7;0;0
30;branca;25;EP;umido;1;4;4;6;0;0
30;branca;25;EP;umido;2;4;4;6;0;0
30;branca;25;EP;umido;3;1;1;9;0;0
31;branca;25;SV;seco;1;8;7;2;1;0
31;branca;25;SV;seco;2;6;6;4;0;0
31;branca;25;SV;seco;3;2;1;8;1;0
32;branca;25;SV;intermed;1;7;7;3;0;0
32;branca;25;SV;intermed;2;7;7;3;0;0
32;branca;25;SV;intermed;3;6;6;4;0;0
33;branca;25;SV;umido;1;8;8;2;0;0
33;branca;25;SV;umido;2;5;4;5;1;0
33;branca;25;SV;umido;3;5;5;5;0;0
34;branca;25;EV;seco;1;3;3;7;0;0
34;branca;25;EV;seco;2;8;8;2;0;0
34;branca;25;EV;seco;3;10;6;0;4;0
35;branca;25;EV;intermed;1;7;7;3;0;0
35;branca;25;EV;intermed;2;6;6;4;0;0
35;branca;25;EV;intermed;3;5;4;5;1;0
36;branca;25;EV;umido;1;8;8;2;0;0
36;branca;25;EV;umido;2;8;8;2;0;0
36;branca;25;EV;umido;3;3;3;7;0;0
37;branca;25;SA;seco;1;5;5;5;0;0
37;branca;25;SA;seco;2;8;7;2;1;0
37;branca;25;SA;seco;3;7;6;3;1;0
38;branca;25;SA;intermed;1;5;5;5;0;0
38;branca;25;SA;intermed;2;7;7;3;0;0
38;branca;25;SA;intermed;3;9;9;1;0;0
39;branca;25;SA;umido;1;6;5;4;1;0
39;branca;25;SA;umido;2;5;5;5;0;0
39;branca;25;SA;umido;3;5;3;5;2;0
40;branca;25;EA;seco;1;2;2;8;0;0
40;branca;25;EA;seco;2;4;4;6;0;0
40;branca;25;EA;seco;3;2;2;8;0;0
41;branca;25;EA;intermed;1;6;5;4;0;1
41;branca;25;EA;intermed;2;4;4;6;0;0
41;branca;25;EA;intermed;3;2;2;8;0;0
42;branca;25;EA;umido;1;3;3;7;0;0
42;branca;25;EA;umido;2;2;2;8;0;0
42;branca;25;EA;umido;3;0;0;10;0;0
43;branca;30;RP;seco;1;6;6;4;0;0
43;branca;30;RP;seco;2;7;7;3;0;0
43;branca;30;RP;seco;3;8;8;2;0;0
44;branca;30;RP;intermed;1;7;7;3;0;0
44;branca;30;RP;intermed;2;5;4;5;1;0
44;branca;30;RP;intermed;3;7;7;3;0;0
45;branca;30;RP;umido;1;6;6;4;0;0
45;branca;30;RP;umido;2;5;5;5;0;0
45;branca;30;RP;umido;3;6;6;4;0;0
46;branca;30;SP;seco;1;6;6;4;0;0
46;branca;30;SP;seco;2;5;4;5;1;0
46;branca;30;SP;seco;3;0;0;10;0;0
47;branca;30;SP;intermed;1;5;2;5;3;0
47;branca;30;SP;intermed;2;6;6;4;0;0
47;branca;30;SP;intermed;3;6;6;4;0;0
48;branca;30;SP;umido;1;7;7;3;0;0
48;branca;30;SP;umido;2;6;5;4;1;0
48;branca;30;SP;umido;3;5;3;5;2;0
49;branca;30;EP;seco;1;4;4;6;0;0
49;branca;30;EP;seco;2;6;5;4;1;0
49;branca;30;EP;seco;3;0;0;10;0;0
50;branca;30;EP;intermed;1;9;9;1;0;0
50;branca;30;EP;intermed;2;8;8;2;0;0
50;branca;30;EP;intermed;3;4;4;6;0;0
51;branca;30;EP;umido;1;7;7;3;0;0
51;branca;30;EP;umido;2;5;4;5;1;0
51;branca;30;EP;umido;3;7;5;3;1;0
52;branca;30;SV;seco;1;10;10;0;0;0
52;branca;30;SV;seco;2;7;7;3;0;0
52;branca;30;SV;seco;3;8;8;2;0;0
53;branca;30;SV;intermed;1;6;5;4;1;0
53;branca;30;SV;intermed;2;6;6;4;0;0
53;branca;30;SV;intermed;3;7;7;3;0;0
54;branca;30;SV;umido;1;8;5;2;3;0
54;branca;30;SV;umido;2;5;4;5;1;0
54;branca;30;SV;umido;3;5;5;5;0;0
55;branca;30;EV;seco;1;7;6;3;1;0
55;branca;30;EV;seco;2;5;5;5;0;0
55;branca;30;EV;seco;3;4;3;6;1;0
56;branca;30;EV;intermed;1;7;7;3;0;0
56;branca;30;EV;intermed;2;4;4;6;0;0
56;branca;30;EV;intermed;3;5;5;5;0;0
57;branca;30;EV;umido;1;6;6;4;0;0
57;branca;30;EV;umido;2;5;5;5;0;0
57;branca;30;EV;umido;3;6;6;4;0;0
58;branca;30;SA;seco;1;4;4;6;0;0
58;branca;30;SA;seco;2;4;4;6;0;0
58;branca;30;SA;seco;3;9;9;1;0;0
59;branca;30;SA;intermed;1;3;3;7;0;0
59;branca;30;SA;intermed;2;4;4;6;0;0
59;branca;30;SA;intermed;3;4;4;6;0;0
60;branca;30;SA;umido;1;8;6;2;0;0
60;branca;30;SA;umido;2;7;7;3;0;0
60;branca;30;SA;umido;3;2;2;8;0;0
61;branca;30;EA;seco;1;2;2;8;0;0
61;branca;30;EA;seco;2;4;4;6;0;0
61;branca;30;EA;seco;3;0;0;10;0;0
62;branca;30;EA;intermed;1;0;0;10;0;0
62;branca;30;EA;intermed;2;0;0;10;0;0
62;branca;30;EA;intermed;3;3;2;7;1;0
63;branca;30;EA;umido;1;1;1;9;0;0
63;branca;30;EA;umido;2;0;0;10;0;0
63;branca;30;EA;umido;3;2;1;8;1;0
64;branca;35;RP;seco;1;7;1;3;6;0
64;branca;35;RP;seco;2;6;0;4;6;0
64;branca;35;RP;seco;3;6;2;4;4;0
65;branca;35;RP;intermed;1;4;1;6;3;0
65;branca;35;RP;intermed;2;5;0;5;5;0
65;branca;35;RP;intermed;3;7;4;3;3;0
66;branca;35;RP;umido;1;9;2;1;7;0
66;branca;35;RP;umido;2;3;2;7;1;0
66;branca;35;RP;umido;3;5;4;5;1;0
67;branca;35;SP;seco;1;6;0;4;6;0
67;branca;35;SP;seco;2;6;1;4;5;0
67;branca;35;SP;seco;3;7;0;3;7;0
68;branca;35;SP;intermed;1;3;2;7;1;0
68;branca;35;SP;intermed;2;3;1;7;2;0
68;branca;35;SP;intermed;3;3;2;7;1;0
69;branca;35;SP;umido;1;4;1;6;3;0
69;branca;35;SP;umido;2;3;0;7;3;0
69;branca;35;SP;umido;3;3;0;7;3;0
70;branca;35;EP;seco;1;4;1;6;3;0
70;branca;35;EP;seco;2;3;0;7;3;0
70;branca;35;EP;seco;3;5;3;5;2;0
71;branca;35;EP;intermed;1;3;0;7;3;0
71;branca;35;EP;intermed;2;6;0;4;6;0
71;branca;35;EP;intermed;3;2;0;8;2;0
72;branca;35;EP;umido;1;0;0;10;0;0
72;branca;35;EP;umido;2;1;0;9;1;0
72;branca;35;EP;umido;3;6;0;4;6;0
73;branca;35;SV;seco;1;4;0;6;4;0
73;branca;35;SV;seco;2;2;0;8;2;0
73;branca;35;SV;seco;3;3;1;7;2;0
74;branca;35;SV;intermed;1;6;0;4;6;0
74;branca;35;SV;intermed;2;5;0;5;5;0
74;branca;35;SV;intermed;3;6;5;4;1;0
75;branca;35;SV;umido;1;7;1;3;6;0
75;branca;35;SV;umido;2;5;2;5;3;0
75;branca;35;SV;umido;3;10;9;0;1;0
76;branca;35;EV;seco;1;6;2;4;4;0
76;branca;35;EV;seco;2;6;3;4;3;0
76;branca;35;EV;seco;3;1;0;9;1;0
77;branca;35;EV;intermed;1;5;0;5;5;0
77;branca;35;EV;intermed;2;6;0;4;6;0
77;branca;35;EV;intermed;3;4;1;6;3;0
78;branca;35;EV;umido;1;3;0;7;3;0
78;branca;35;EV;umido;2;9;1;1;8;0
78;branca;35;EV;umido;3;6;1;4;5;0
79;branca;35;SA;seco;1;7;2;3;5;0
79;branca;35;SA;seco;2;0;0;10;0;0
79;branca;35;SA;seco;3;8;4;2;4;0
80;branca;35;SA;intermed;1;6;2;4;4;0
80;branca;35;SA;intermed;2;9;1;1;8;0
80;branca;35;SA;intermed;3;2;0;8;2;0
81;branca;35;SA;umido;1;2;0;8;2;0
81;branca;35;SA;umido;2;4;0;6;4;0
81;branca;35;SA;umido;3;5;1;5;4;0
82;branca;35;EA;seco;1;1;0;9;1;0
82;branca;35;EA;seco;2;2;0;8;2;0
82;branca;35;EA;seco;3;2;1;8;1;0
83;branca;35;EA;intermed;1;1;0;9;1;0
83;branca;35;EA;intermed;2;0;0;10;0;0
83;branca;35;EA;intermed;3;3;0;7;3;0
84;branca;35;EA;umido;1;3;0;7;3;0
84;branca;35;EA;umido;2;2;1;8;1;0
84;branca;35;EA;umido;3;1;1;9;0;0
85;branca;20-30;RP;seco;1;4;2;6;2;0
85;branca;20-30;RP;seco;2;8;8;2;0;0
85;branca;20-30;RP;seco;3;4;0;6;4;0
86;branca;20-30;RP;intermed;1;7;2;3;5;0
86;branca;20-30;RP;intermed;2;3;3;7;0;0
86;branca;20-30;RP;intermed;3;6;2;4;4;0
87;branca;20-30;RP;umido;1;8;6;2;2;0
87;branca;20-30;RP;umido;2;7;7;3;0;0
87;branca;20-30;RP;umido;3;8;8;2;0;0
88;branca;20-30;SP;seco;1;8;7;2;1;0
88;branca;20-30;SP;seco;2;7;3;3;4;0
88;branca;20-30;SP;seco;3;7;7;3;0;0
89;branca;20-30;SP;intermed;1;4;3;6;1;0
89;branca;20-30;SP;intermed;2;8;7;2;1;0
89;branca;20-30;SP;intermed;3;6;6;4;0;0
90;branca;20-30;SP;umido;1;5;5;5;0;0
90;branca;20-30;SP;umido;2;9;9;1;0;0
90;branca;20-30;SP;umido;3;5;5;5;0;0
91;branca;20-30;EP;seco;1;8;6;2;2;0
91;branca;20-30;EP;seco;2;8;8;2;0;0
91;branca;20-30;EP;seco;3;7;7;3;0;0
92;branca;20-30;EP;intermed;1;4;4;6;0;0
92;branca;20-30;EP;intermed;2;10;9;0;1;0
92;branca;20-30;EP;intermed;3;9;6;1;3;0
